Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,clean_genre_list,date_read,date_added,Title_shorten,book_title,timelines,add_to_tbr_dt,start_reading_dt,finish_reading_dt,genre_list,is_nonfiction,is_fiction,genre_list_trf,year_read,month_read,year_added,month_added
58438576,Tell Me an Ending,Jo Harkin,"Harkin, Jo",,"=""1982164328""","=""9781982164324""",0,3.67,Scribner,Hardcover,448.0,2022.0,2022.0,,2022/02/23,to-read,to-read (#148),to-read,0,0,"['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Adult', 'Mystery', 'Science Fiction Fantasy', 'Thriller', 'Adult Fiction']",,2022-02-23,Tell Me an Ending,Tell Me an Ending,"['February 23, 2022 – Shelved', 'February 23, 2022 – Shelved as: to-read']",2022-02-23,,,"['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Adult', 'Mystery', 'Science Fiction Fantasy', 'Thriller', 'Adult Fiction']",0,1,"['Science Fiction', 'Fantasy', 'Speculative Fiction', 'Adult', 'Mystery', 'Science Fiction Fantasy', 'Thriller', 'Adult Fiction']",,,2022,2
27362503,It Ends with Us,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",3,4.43,Atria Books,Kindle Edition,385.0,2016.0,2016.0,2022/02/17,2022/02/12,,,read,1,0,"['Romance', 'Contemporary', 'Fiction', 'New Adult', 'Adult', 'Audiobook', 'Sociology', 'Womens Fiction', 'Young Adult']",2022-02-17,2022-02-12,It Ends with Us,It Ends with Us,"['February 12, 2022 – Shelved as: to-read', 'February 12, 2022 – Shelved', 'Started Reading', 'February 17, 2022 –  Finished Reading']",2022-02-12,,2022-02-17,"['Romance', 'Contemporary', 'Fiction', 'New Adult', 'Adult', 'Audiobook', 'Sociology', 'Womens Fiction', 'Young Adult']",0,1,"['Romance', 'Contemporary', 'New Adult', 'Adult', 'Audiobook', 'Sociology', 'Womens Fiction', 'Young Adult']",2022.0,2.0,2022,2
51896016,Progresnya Berapa Persen?,Soraya Nasution,"Nasution, Soraya",,"=""""","=""9786230003745""",0,4.03,Elex Media Komputindo,Paperback,360.0,2019.0,2019.0,,2022/02/15,to-read,to-read (#147),to-read,0,0,"['Romance', 'Fiction', 'Contemporary', 'Novels', 'Womens Fiction', 'Asian Literature']",,2022-02-15,Progresnya Berapa Persen?,Progresnya Berapa Persen?,"['February 15, 2022 – Shelved', 'February 15, 2022 – Shelved as: to-read']",2022-02-15,,,"['Romance', 'Fiction', 'Contemporary', 'Novels', 'Womens Fiction', 'Asian Literature']",0,1,"['Romance', 'Contemporary', 'Novels', 'Womens Fiction', 'Asian Literature']",,,2022,2
55817473,Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,"Purnomo, Dian",,"=""""","=""9786020648453""",0,4.66,Gramedia Pustaka Utama,Paperback,319.0,2020.0,2020.0,,2022/02/15,to-read,to-read (#146),to-read,0,0,"['Fiction', 'Feminism', 'Asian Literature', 'Adult', 'Contemporary', 'Novels', 'Mystery']",,2022-02-15,Perempuan yang Menangis kepada Bulan Hitam,Perempuan yang Menangis kepada Bulan Hitam,"['February 15, 2022 – Shelved as: to-read', 'February 15, 2022 – Shelved']",2022-02-15,,,"['Fiction', 'Feminism', 'Asian Literature', 'Adult', 'Contemporary', 'Novels', 'Mystery']",0,1,"['Feminism', 'Asian Literature', 'Adult', 'Contemporary', 'Novels', 'Mystery']",,,2022,2
55600878,Instructions for Dancing,Nicola Yoon,"Yoon, Nicola",,"=""""","=""""",0,4.04,Penguin,Kindle Edition,304.0,2021.0,2021.0,,2022/02/14,to-read,to-read (#145),to-read,0,0,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Magical Realism', 'Fantasy', 'Audiobook']",,2022-02-14,Instructions for Dancing,Instructions for Dancing,"['February 14, 2022 – Shelved as: to-read', 'February 14, 2022 – Shelved']",2022-02-14,,,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Magical Realism', 'Fantasy', 'Audiobook']",0,1,"['Romance', 'Young Adult', 'Contemporary', 'Magical Realism', 'Fantasy', 'Audiobook']",,,2022,2
57004637,The Book of Form and Emptiness,Ruth Ozeki,"Ozeki, Ruth",,"=""0399563644""","=""9780399563645""",0,4.13,Viking,Hardcover,548.0,2021.0,2021.0,,2022/02/11,to-read,to-read (#144),to-read,0,0,"['Fiction', 'Magical Realism', 'Literary Fiction', 'Fantasy', 'Writing', 'Contemporary', 'Audiobook', 'Health', 'Young Adult', 'Novels']",,2022-02-11,The Book of Form and Emptiness,The Book of Form and Emptiness,"['February 11, 2022 – Shelved as: to-read', 'February 11, 2022 – Shelved']",2022-02-11,,,"['Fiction', 'Magical Realism', 'Literary Fiction', 'Fantasy', 'Writing', 'Contemporary', 'Audiobook', 'Health', 'Young Adult', 'Novels']",0,1,"['Magical Realism', 'Literary Fiction', 'Fantasy', 'Writing', 'Contemporary', 'Audiobook', 'Health', 'Young Adult', 'Novels']",,,2022,2
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo","Simon Carnell, Erica Segre","=""0399184414""","=""9780399184413""",0,3.97,Riverhead Books,Hardcover,81.0,2016.0,2014.0,,2022/02/06,to-read,to-read (#143),to-read,0,0,"['Science', 'Nonfiction', 'Philosophy', 'Audiobook', 'Writing', 'History', 'European Literature', 'Environment']",,2022-02-06,Seven Brief Lessons on Physics,Seven Brief Lessons on Physics,"['February  6, 2022 – Shelved', 'February  6, 2022 – Shelved as: to-read']",2022-02-06,,,"['Science', 'Nonfiction', 'Philosophy', 'Audiobook', 'Writing', 'History', 'European Literature', 'Environment']",1,0,"['Science', 'Philosophy', 'Audiobook', 'Writing', 'History', 'European Literature', 'Environment']",,,2022,2
36442813,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""073521610X""","=""9780735216105""",0,4.11,Riverhead Books,Hardcover,240.0,2018.0,2017.0,,2022/02/06,to-read,to-read (#142),to-read,0,0,"['Science', 'Nonfiction', 'Philosophy', 'Audiobook', 'History', 'Writing', 'Cultural', 'European Literature']",,2022-02-06,The Order of Time,The Order of Time,"['February  6, 2022 – Shelved', 'February  6, 2022 – Shelved as: to-read']",2022-02-06,,,"['Science', 'Nonfiction', 'Philosophy', 'Audiobook', 'History', 'Writing', 'Cultural', 'European Literature']",1,0,"['Science', 'Philosophy', 'Audiobook', 'History', 'Writing', 'Cultural', 'European Literature']",,,2022,2
39407010,Eight Dates: A Plan for Making Love Last Forever,John M. Gottman,"Gottman, John M.","Julie Schwartz Gottman, Rachel Carlton Abrams, Douglas Carlton Abrams","=""""","=""""",0,4.19,Workman Publishing Company,Kindle Edition,224.0,2018.0,2019.0,,2022/02/01,currently-reading,currently-reading (#6),currently-reading,1,0,"['Relationships', 'Nonfiction', 'Self Help', 'Psychology', 'Marriage', 'Romance', 'Love', 'Unfinished', 'Language']",,2022-02-01,Eight Dates: A Plan for Making Love Last Forever,Eight Dates: A Plan for Making Love Last Forever,"['February  1, 2022 –  Started Reading', 'February  1, 2022 – Shelved']",,2022-02-01,,"['Relationships', 'Nonfiction', 'Self Help', 'Psychology', 'Marriage', 'Romance', 'Love', 'Unfinished', 'Language']",1,0,"['Relationships', 'Self Help', 'Psychology', 'Marriage', 'Romance', 'Love', 'Unfinished', 'Language']",,,2022,2
42861019,Filosofi Teras,Henry Manampiring,"Manampiring, Henry",Levina Lesmana,"=""""","=""9786024125189""",0,4.48,Penerbit Buku Kompas,Paperback,344.0,2018.0,2018.0,,2020/03/09,currently-reading,currently-reading (#5),currently-reading,1,0,"['Nonfiction', 'Self Help', 'Philosophy', 'Psychology', 'Asian Literature', 'Health', 'Anthologies', 'Inspirational', 'Adult']",,2020-03-09,Filosofi Teras,Filosofi Teras,"['March  9, 2020 – Shelved as: to-read', 'March  9, 2020 – Shelved', 'January 23, 2022 –  Started Reading']",2020-03-09,2022-01-23,,"['Nonfiction', 'Self Help', 'Philosophy', 'Psychology', 'Asian Literature', 'Health', 'Anthologies', 'Inspirational', 'Adult']",1,0,"['Self Help', 'Philosophy', 'Psychology', 'Asian Literature', 'Health', 'Anthologies', 'Inspirational', 'Adult']",,,2020,3
36959766,Hyperfocus: How to Be More Productive in a World of Distraction,Chris   Bailey,"Bailey, Chris",,"=""0735273685""","=""9780735273689""",0,3.91,Random House Canada,Hardcover,256.0,2018.0,2018.0,,2022/01/21,to-read,to-read (#141),to-read,0,0,"['Productivity', 'Self Help', 'Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Science', 'Leadership', 'Neurodiversity']",,2022-01-21,Hyperfocus: How to Be More Productive in a World of Distraction,Hyperfocus: How to Be More Productive in a World of Distraction,"['January 21, 2022 – Shelved as: to-read', 'January 21, 2022 – Shelved']",2022-01-21,,,"['Productivity', 'Self Help', 'Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Science', 'Leadership', 'Neurodiversity']",1,0,"['Productivity', 'Self Help', 'Psychology', 'Business', 'Audiobook', 'Science', 'Leadership', 'Neurodiversity']",,,2022,1
56653946,25 Jam,Stefani Bella,"Bella, Stefani",Syahid Muhammad,"=""""","=""9786022081791""",3,4.23,Gradien Mediatama,Paperback,,2019.0,,,2022/01/07,,,read,1,0,[],,2022-01-07,25 Jam,25 Jam,"['January  7, 2022 – Shelved', 'Started Reading', 'January  8, 2022 –  Finished Reading']",,,2022-01-08,[''],0,0,[''],,,2022,1
11525157,The Forty Rules of Love,Elif Shafak,"Shafak, Elif",,"=""""","=""""",3,4.14,Penguin Books,Kindle Edition,368.0,2010.0,2009.0,2022/01/04,2021/12/19,,,read,1,0,"['Fiction', 'Historical', 'Novels', 'Romance', 'Philosophy', 'Asian Literature', 'Spirituality', 'Religion', 'Literature', 'Cultural']",2022-01-04,2021-12-19,The Forty Rules of Love,The Forty Rules of Love,"['December 19, 2021 – Shelved as: to-read', 'December 19, 2021 – Shelved', 'December 20, 2021 –  Started Reading', 'January  4, 2022 –  Finished Reading']",2021-12-19,2021-12-20,2022-01-04,"['Fiction', 'Historical', 'Novels', 'Romance', 'Philosophy', 'Asian Literature', 'Spirituality', 'Religion', 'Literature', 'Cultural']",0,1,"['Historical', 'Novels', 'Romance', 'Philosophy', 'Asian Literature', 'Spirituality', 'Religion', 'Literature', 'Cultural']",2022.0,1.0,2021,12
25111093,The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley,Eric    Weiner,"Weiner, Eric",,"=""1451691653""","=""9781451691658""",0,3.78,Simon  Schuster,Hardcover,368.0,2016.0,2016.0,,2021/12/31,to-read,to-read (#140),to-read,0,0,"['Nonfiction', 'History', 'Travel', 'Science', 'Psychology', 'Audiobook', 'Business', 'Philosophy', 'Cultural']",,2021-12-31,The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley,The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley,"['December 31, 2021 – Shelved as: to-read', 'December 31, 2021 – Shelved']",2021-12-31,,,"['Nonfiction', 'History', 'Travel', 'Science', 'Psychology', 'Audiobook', 'Business', 'Philosophy', 'Cultural']",1,0,"['History', 'Travel', 'Science', 'Psychology', 'Audiobook', 'Business', 'Philosophy', 'Cultural']",,,2021,12
23015962,The Improbable Theory of Ana and Zak,Brian Katcher,"Katcher, Brian",,"=""0062272799""","=""9780062272799""",0,3.69,Katherine Tegen Books,ebook,336.0,2015.0,2015.0,,2021/12/24,to-read,to-read (#139),to-read,0,0,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Humor', 'Fiction', 'Adventure']",,2021-12-24,The Improbable Theory of Ana and Zak,The Improbable Theory of Ana and Zak,"['December 24, 2021 – Shelved', 'December 24, 2021 – Shelved as: to-read']",2021-12-24,,,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Humor', 'Fiction', 'Adventure']",0,1,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Humor', 'Adventure']",,,2021,12
17978134,A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,Warren Berger,"Berger, Warren",,"=""""","=""""",4,3.96,Bloomsbury USA,Hardcover,272.0,2014.0,2014.0,2021/12/20,2021/09/12,,,read,1,0,"['Business', 'Nonfiction', 'Education', 'Leadership', 'Psychology', 'Self Help', 'Design', 'Teaching', 'Audiobook']",2021-12-20,2021-09-12,A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,"['September 12, 2021 – Shelved', 'September 12, 2021 – Shelved as: to-read', 'Started Reading', 'December 20, 2021 –  Finished Reading']",2021-09-12,,2021-12-20,"['Business', 'Nonfiction', 'Education', 'Leadership', 'Psychology', 'Self Help', 'Design', 'Teaching', 'Audiobook']",1,0,"['Business', 'Education', 'Leadership', 'Psychology', 'Self Help', 'Design', 'Teaching', 'Audiobook']",2021.0,12.0,2021,9
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",0,4.32,Simon  Schuster,Hardcover,536.0,2021.0,2021.0,,2021/12/18,to-read,to-read (#138),to-read,0,0,"['Science', 'Nonfiction', 'Biography', 'History', 'Audiobook', 'Biography Memoir', 'Biology', 'Health']",,2021-12-18,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race","The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race","['December 18, 2021 – Shelved as: to-read', 'December 18, 2021 – Shelved']",2021-12-18,,,"['Science', 'Nonfiction', 'Biography', 'History', 'Audiobook', 'Biography Memoir', 'Biology', 'Health']",1,0,"['Science', 'Biography', 'History', 'Audiobook', 'Biography Memoir', 'Biology', 'Health']",,,2021,12
57304990,Rapijali 3: Kembali,Dee Lestari,"Lestari, Dee",,"=""""","=""9786022918660""",5,4.48,Bentang Pustaka,Paperback,776.0,2021.0,,,2021/12/18,,,read,1,0,"['Fiction', 'Romance', 'Novels', 'Asian Literature', 'Family', 'Contemporary']",,2021-12-18,Rapijali 3: Kembali,Rapijali 3: Kembali,"['December 16, 2021 –  Started Reading', 'December 18, 2021 – Shelved', 'December 18, 2021 –  Finished Reading']",,2021-12-16,2021-12-18,"['Fiction', 'Romance', 'Novels', 'Asian Literature', 'Family', 'Contemporary']",0,1,"['Romance', 'Novels', 'Asian Literature', 'Family', 'Contemporary']",,,2021,12
57866254,Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,Ethan Bueno De Mesquita,"Mesquita, Ethan Bueno De",Anthony Fowler,"=""0691214360""","=""9780691214368""",0,3.92,Princeton University Press,Hardcover,400.0,2021.0,,,2021/12/11,to-read,to-read (#137),to-read,0,0,"['Politics', 'Nonfiction']",,2021-12-11,Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,,,,,,"['Politics', 'Nonfiction']",1,0,['Politics'],,,2021,12
54817585,Know Thyself: The Science of Self-Awareness,Stephen M. Fleming,"Fleming, Stephen M.",,"=""1541672844""","=""9781541672840""",0,3.9,Basic Books,Hardcover,304.0,2021.0,2021.0,,2021/12/05,to-read,to-read (#136),to-read,0,0,"['Psychology', 'Nonfiction', 'Science', 'Biology', 'Self Help', 'Philosophy']",,2021-12-05,Know Thyself: The Science of Self-Awareness,Know Thyself: The Science of Self-Awareness,"['December  5, 2021 – Shelved', 'December  5, 2021 – Shelved as: to-read']",2021-12-05,,,"['Psychology', 'Nonfiction', 'Science', 'Biology', 'Self Help', 'Philosophy']",1,0,"['Psychology', 'Science', 'Biology', 'Self Help', 'Philosophy']",,,2021,12
35434970,The Art of Talking to Yourself,Vironika Tugaleva,"Tugaleva, Vironika",,"=""0992046831""","=""9780992046835""",0,3.96,Soulux Press,Paperback,212.0,2017.0,,,2021/12/05,to-read,to-read (#135),to-read,0,0,"['Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Unfinished']",,2021-12-05,The Art of Talking to Yourself,The Art of Talking to Yourself,"['December  5, 2021 – Shelved as: to-read', 'December  5, 2021 – Shelved']",2021-12-05,,,"['Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Unfinished']",1,0,"['Self Help', 'Psychology', 'Philosophy', 'Unfinished']",,,2021,12
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",0,3.95,Riverhead Books,Hardcover,242.0,2009.0,2009.0,,2021/12/05,to-read,to-read (#134),to-read,0,0,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Education', 'Productivity', 'Science']",,2021-12-05,Drive: The Surprising Truth About What Motivates Us,Drive: The Surprising Truth About What Motivates Us,"['December  5, 2021 – Shelved as: to-read', 'December  5, 2021 – Shelved']",2021-12-05,,,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Education', 'Productivity', 'Science']",1,0,"['Business', 'Psychology', 'Leadership', 'Self Help', 'Education', 'Productivity', 'Science']",,,2021,12
31522008,"Insight: Why We're Not as Self-Aware as We Think, and How Seeing Ourselves Clearly Helps Us Succeed at Work and in Life",Tasha Eurich,"Eurich, Tasha",,"=""0451496817""","=""9780451496812""",0,3.86,Currency,Hardcover,368.0,2017.0,2017.0,,2021/12/05,to-read,to-read (#133),to-read,0,0,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Audiobook', 'Science', 'Biology']",,2021-12-05,"Insight: Why We're Not as Self-Aware as We Think, and How Seeing Ourselves Clearly Helps Us Succeed at Work and in Life","Insight: Why We're Not as Self-Aware as We Think, and How Seeing Ourselves Clearly Helps Us Succeed at Work and in Life","['December  5, 2021 – Shelved as: to-read', 'December  5, 2021 – Shelved']",2021-12-05,,,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Audiobook', 'Science', 'Biology']",1,0,"['Psychology', 'Self Help', 'Business', 'Leadership', 'Audiobook', 'Science', 'Biology']",,,2021,12
